rakez_code,activity_name,description,licence_type,activity_group,isic_code,isic_title,isic_level,aml_rating,risk_score,risk_theme,cdd_edd,matched_rules,prohibited,zone,source,mapping_basis
332001,Contact Lenses Manufacturing,Includes manufacturing the plastic lens placed on the surface of the eye either to correct visual defects or to change the colors of the eyes.,Industrial,Manufacture of eyeglasses,3320,Installation of industrial machinery and equipment,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 332001 → ISIC 3320 (Class)
100067,Content Rights Management,Content Rights Management,Media,Production Support Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100067 → ISIC 10 (Division)
291504,Conveyor & Transmission Belts Manufacturing,"Includes manufacturing rubber, plastic or metal moving belts installed in public utilities like airports, shopping centres or in industrial units to convey raw materials and finished goods or in central kitchens or for any other purposes, pre- installation process involves working out the connectors and metal joiners.",Industrial,Equipment and engines manufacturing,291,Manufacture of motor vehicles,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 291504 → ISIC 291 (Group)
291401,Cookers & Cook Stoves Manufacturing,"Includes manufacturing electric, gas, coal or kerosene burners, ovens and cookers, also, different barbecue items.",Industrial,Appliances and machinery manufacturing,291,Manufacture of motor vehicles,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 291401 → ISIC 291 (Group)
513913,Cookers & Cookstoves Trading,"Includes reselling electric, gas, coal or kerosene burners, ovens and cookers, also, different barbecue items (excluding restaurants and cafeterias brands, which are classified under activity 5150- 31)",Commercial,Electronics group,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513913 → ISIC 51 (Division)
741429,Cooking Consultant,"Includes the provision of advice, guidance and operational assistance to hotels, restaurants, clubs, and other professionals in the hospitality industry as regarding how to skillfully preparing meals, helping create the recipes, demonstrate knowledge of the science of food, understanding of diet and nutrition, plan and execute cooking demonstrations in TV stations or any other place.",Service,"Consultancy -D- management, information and marketing",741,Specialized design activities,Group,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 741429 → ISIC 741 (Group)
242905,Coolants Manufacturing,"Includes manufacturing coolants which are characterized of having high thermal capacity, low viscosity, chemically inert, and causing no corrosion when mixed with water and flown through or around a device to prevent its overheating.",Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 242905 → ISIC 242 (Group)
272003,Copper Rod Casting,"Includes producing pure copper from it’s primary ore (cathode) , then melt and cast to form rods to use in manufacturing cables.",Industrial,Structural steel manufacturing,2720,Manufacture of batteries and accumulators,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 272003 → ISIC 2720 (Class)
210206,Core Paper Manufacturing,"Includes manufacturing paper tubes and cores in various length and diameters, thickness up to12 ml, for wrapping raw materials such as carpet, moquette, nylon, paper, carton, textiles…etc",Industrial,Manufacturing of paper and paper products,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 210206 → ISIC 210 (Group)
100085,Corporate Content Provider,Corporate Content Provider,Media,Publishing Support Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100085 → ISIC 10 (Division)
100084,Corporate Publishing,Corporate Publishing,Media,Publishing Support Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100084 → ISIC 10 (Division)
210201,Corrugated Carton Boxes & Container Manufacturing,"Includes the manufacture of different sizes and types of boxes and containers made of corrugated or non-corrugated carton, used for wrapping and packaging different products in commercial packs in order to facilitate their transportation, shipping and storing.",Industrial,Manufacturing of paper and paper products,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Group,Medium,2,Manufacturing,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 210201 → ISIC 210 (Group)
2429-09,Cosmetics & Personal Care Preservatives Manufacturing,"Includes manufacturing chemicals widely used by cosmetic and pharmaceutical industries, such as parabens, sodium benzoate, optiphen, suttocide, to protection of the products from contamination by bacteria, yeast, mold, and fungus, from the time the product is manufactured up until the time the product is completely used up by the consumer.",Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 2429-09 → ISIC 242 (Group)
2424-08,Cosmetics Manufacturing,"Includes manufacturing cosmetics, such as body creams and lotions as well as various types of eye make-ups and facial cosmetics.",Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 2424-08 → ISIC 242 (Group)
7414-19,Cost Control & Risk Management Services,"Includes firms which help others in taking steps to control and ensure that the actual cost of production do not exceed the standard cost set in advance in the planning stage, it involves risk management which implies identifying the risks encounter organizations, then assessing the risks, and finally to take steps and develop strategies to enable avoiding the risk or reduce it’s negative effects or transfer to another party.",Service,Finance consultants,741,Specialized design activities,Group,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 7414-19 → ISIC 741 (Group)
100064,Costume Design,Costume Design,Media,Production Support Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100064 → ISIC 10 (Division)
512124,Cotton & Natural Fibers Trading,"Includes trading of raw cotton before undergoing any industrial or converting processes in order to meet different industrial and commercial needs, also, linen, jute, hemp and other natural fibers.",Commercial,Chemicals trading,512,Freight air transport,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 512124 → ISIC 512 (Group)
171101,"Cotton, Wool Spinning & Weaving","Includes the preparation of cotton and wool fibers manufactured from substitute materials such as nylon or artificial silk, carrying out spinning operations incuding cleaning and carding...etc. Also includes spinning and weaving of fibers to produce fabrics, textiles, broad-cloth, embroideries and laced fabrics, as well as their bleaching.",Industrial,Textiles & products manufacturing,17,Manufacture of paper and paper products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 171101 → ISIC 17 (Division)
RAKEZ /2017/13,Courier (Branch),Courier (Branch),Service,"Transport, shipping and storage",?,Unresolved — manual ISIC mapping,Unresolved,Medium,2,"Transport, shipping and storage",Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Theme / group heuristic — ISIC parent not resolved
291502,"Crane Manufacturing machines equipped with a hoist, wire ropes or","chains, used to lift and lower materials in ports and places of cargo loading and unloading and in constructions.",Industrial,Equipment and engines manufacturing,291,Manufacture of motor vehicles,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 291502 → ISIC 291 (Group)
514334,Crane Rails & Fixing Accessories Trading,"Includes reselling the railroad for mounting cranes on it in order to use in freight handling in goods yards, or for accident recovery works.",Commercial,Building materials trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 514334 → ISIC 51 (Division)
1520-05,Cream of Milk Manufacturing,Includes extracting cream from milk by using centrifugal force.,Industrial,Food industries,1520,Manufacture of footwear,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 1520-05 → ISIC 1520 (Class)
100002,Creative Agency Creative Agency Media,,Media,& Marketing Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100002 → ISIC 10 (Division)
RAKEZ /2017/36,Creative Design Professional,"Individual Works Individual / Professional Design,",Media,& Architecture,N,"Professional, scientific and technical activities",Section,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC N
6603-04,Credit & Saving Insurance,"Includes firms which execute insurance operations on the issuance of documents, instruments and certificates... etc. which bind a given company to make a post-dated settlement of a certain amount/ amounts of money by one or more regular instalment payment.",Service,Insurance,66,Activities auxiliary to financial service and insurance activities,Division,High,3,Financial / insurance,Enhanced Due Diligence (EDD),H01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6603-04 → ISIC 66 (Division)
9241-17,Cricket Club,Includes sport clubs licensed by competent authorities and which accommodate sport facilities for exercising cricket in order to optimize cricketers performance and qualify for regional and international sport excellence.,Service,Sport Club,92,Gambling and betting activities,Division,High,3,Gambling / betting / casino,Enhanced Due Diligence (EDD),,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 9241-17 → ISIC 92 (Division)
241303,Crude Fibre Glass Manufacturing,"Includes producing fiber glass from source materials and forming in panels, grids, or textures and comlementary chemicals useable in manufacturing fiber glass products for constructions or otgers.",Industrial,Manufacturing of chemicals,241,Manufacture of basic iron and steel,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 241303 → ISIC 241 (Group)
1542-01,Crude Sugar Refining,Includes the process of converting the crude sugar produced in sugar factories into crystallized sugar.,Industrial,Food industries,15,Manufacture of leather and related products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 1542-01 → ISIC 15 (Division)
513932,Crystal Products Trading,"Includes reselling decorative and household crystal products, such as chandeliers, ladies ornaments, utensils, gifts, trophies.",Commercial,Ready made garments qroup,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513932 → ISIC 51 (Division)
513124,Curtains & Upholstery Fabrics Trading,Includes reselling different fabrics for curtains and upholstery.,Commercial,Furnitures trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513124 → ISIC 51 (Division)
749941,Customer Care Center,"Includes centers founded by foreign and local corporatios having several branches and subsidiaries such as hotels, banks, hospitals, to provide services to their customers in respect of hotel reservations, information providing, complaints receiving….etc, this is different from any service provided by public relations or customer services offices operating in a relatively small firm.",Service,"Consultancy -D- management, information and marketing",7499,"All other professional, scientific and technical activities n.e.c.",Class,Medium,2,Professional / technical services,Standard CDD + monitoring,MH02,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 749941 → ISIC 7499 (Class)
RAKEZ /2017/14,Customs Clearance Services,Customs Clearance Services,Service,"Consultancy -D- management, information and marketing",?,Unresolved — manual ISIC mapping,Unresolved,Medium,2,"Consultancy -D- management, information and marketing",Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Theme / group heuristic — ISIC parent not resolved
741427,Customs Consultant,"Includes firms engaged in advising importer and exporters on customs, involving, customs procedures, restrictions, discrepancies, exemptions, tariffs, customs value, in additions advising on customs cases considered before customs committees.",Service,"Consultancy -D- management, information and marketing",741,Specialized design activities,Group,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 741427 → ISIC 741 (Group)
513912,Cutlery & Silverware Trading,"Includes reselling cutlery spoons and knives and other household trays, plates, candlesticks, whether made of silver or gold or silver-plated metal, or of stainless steel.",Commercial,Home appliances trading,51,Air transport,Division,High,3,Transportation / storage,Enhanced Due Diligence (EDD),H04,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513912 → ISIC 51 (Division)
289306,Cutlery Manufacturing,"Includes manufacturing knives and spoons used in cutting and cooking, also stainless steel and gold and silver plated cutlery, or purely precious metal brands.",Industrial,Metal home appliances manufacturing,28,Manufacture of machinery and equipment n.e.c.,Division,High,3,Manufacturing,Enhanced Due Diligence (EDD),H04,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289306 → ISIC 28 (Division)
289304,Cutting & Shearing Tools Manufacturing,"Includes manufacturing household or workshop cutting and shearing hand tools, such as knives, scissors or other sharp edge tools, mainly axes, chisels, rasps, saws and others.",Industrial,steel tool manufacturing,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289304 → ISIC 28 (Division)
152001,Dairy Products Manufacturing,"Includes manufacturing milk, Laban, fruit-flavored milk and others, whether processed from fresh or powdered milk. This includes pasteurization and packaging for marketing.",Industrial,Food industries,1520,Manufacture of footwear,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 152001 → ISIC 1520 (Class)
1520-01,Dairy Products Manufacturing & Packing,"Includes manufacturing milk, Laban, fruit-flavored milk and others, whether processed from fresh or powdered milk. This includes pasteurization and packaging for marketing.",Industrial,Food industries,1520,Manufacture of footwear,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 1520-01 → ISIC 1520 (Class)
5122-04,Dairy Products Trading,"Includes reselling fresh and preserved milk, whether in liquid, powdered or condensed, also, dairies including cheese, butter, cream and others, usually raw, canned or preserved.",Commercial,Foodstuff trading,512,Freight air transport,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5122-04 → ISIC 512 (Group)
RAKEZ /2017/29,Data Collection from,One or More Sources Professional Individual Works,Individual / Professional,Information service activities,3811,Collection of non-hazardous waste,Class,Medium,2,"Waste, scrap, recycling and recoverable materials",Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC 3811
RAKEZ /2017/31,Data Entering Professional Individual Works,,Individual / Professional,Information service activities,N,"Professional, scientific and technical activities",Section,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC N
723001,Data Entry,"Includes firms which provide data entry services to computer systems and programs, the process involves ordinary data entry and documents scanning for final electronic storing. It involves converting data from one computer language to another. Such services are carried by specialized firms for others against remunerations, firms perform said services for themselves are not listed under this activity",Service,"Consultancy -D- management, information and marketing",72,Scientific research and development,Division,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 723001 → ISIC 72 (Division)
RAKEZ /2017/32,Data Preparation Professional Individual Works,,Individual / Professional,Information service activities,1311,Preparation and spinning of textile fibres,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC 1311
RAKEZ /2017/30,Data Storing and Recovering Professional Individual Works,,Individual / Professional,Information service activities,N,"Professional, scientific and technical activities",Section,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC N
RAKEZ /2017/33,Databases Designing Professional Individual Works,,Individual / Professional,Information service activities,N,"Professional, scientific and technical activities",Section,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC N
1513-06,Dates Drying & Packaging,"Includes drying dates by removing water content either through sun drying, or through the use of dryers or dehydrators.",Industrial,Food industries,151,"Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness",Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 1513-06 → ISIC 151 (Group)
5252-02,Dates seller,Includes sellers practicing small dates trading activity on benches and stalls inside popular markets.,Commercial,outlet group,52,Warehousing and support activities for transportation,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5252-02 → ISIC 52 (Division)
5121-05,Dates Trading,"Includes reselling of all kinds of dates whether soft, semi crunchy or crunchy.",Commercial,Foodstuff trading,512,Freight air transport,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5121-05 → ISIC 512 (Group)
514321,Decoration Materials & Partitions,"Trading Include reselling of indoor and outdoor decoration materials and products as well as home and office interior design, including gypsum engraves, wood and cement partitions, fittings of artificial decorators such as fountains, water falls and water ways, ready-made partitions used to divide space in offices made of wood, carton, aluminum, steel sheets or others.",Commercial,Furnitures trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 514321 → ISIC 51 (Division)
5219-03,Department Store,"Includes commercial firms engaged in trading various consumer or capital goods which are placed in different sections according to type to facilitate the selling process, such sections include household furniture, textiles and linens, readymade garments, shoes, electric appliances, household utensils, perfumes, medicines, gifts, toys and foodstuff, such store may include a cafeteria to provide snacks.",Commercial,Separate trading activities,521,Warehousing and storage,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5219-03 → ISIC 521 (Group)
4100-03,Desalination & Sewage Treatment Plants Operation & Maintenance,"Includes firms engaged in managing and directing the physical and technical functions of the desalination and sewage treatment plants as regarding overseeing and controlling the process of production to ensure that the operations are efficient in terms of using as few resources as needed as well as meeting the requirements, it involves equipment maintenance, strategic production policy, systems and productivity analysis, cost and quality control, materials planning.",Commercial,Separate trading activities,4100,Construction of residential and non-residential buildings,Class,Medium,2,Construction,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 4100-03 → ISIC 4100 (Class)
222204,Design & Artwork,"Includes providing a wide range of design and artworks to firms engaged in printing and publishing. This includes designing books, magazine covers, stamps, greeting cards and brochures, the process may take the traditional for modern techniques.",Service,Printing and publishing services,222,Manufacture of plastics products,Group,High,3,Manufacturing,Enhanced Due Diligence (EDD),H06,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 222204 → ISIC 222 (Group)
RAKEZ /2017/26,Design & Production,of Frame Prototypes Professional Individual Works,Individual / Professional,"Computer programming, consultancy and related activities",?,Unresolved — manual ISIC mapping,Unresolved,Medium,2,"Computer programming, consultancy and related activities",Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Theme / group heuristic — ISIC parent not resolved
809040,Design Training,"Includes providing training on creatively combing line, form and fabric to design and construct objects such as, fashion design, industrial products design, interior architecture, interior design, stage design, window dressing, neither technical building and industrial designs nor publishing and graphic design are included. Educational Training Instititute /",Educational,consultancy,80,Investigation and security activities,Division,Medium,2,Security / investigation / private protection,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 809040 → ISIC 80 (Division)
100058,"Design, Scenery, Motion Graphics and Lighting","Design, Scenery, Motion Graphics and Lighting",Media,Production Support Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100058 → ISIC 10 (Division)
100020,Destination Management,Destination Management,Media,Event Management,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100020 → ISIC 10 (Division)
331303,Detection Equipment Assembling,"Includes firms specialized in assembling detection equipment and systems for, underground, on the surface or underwater exploration of minerals and resources, underground water, mines and caves, also, security and surveillance devices, gold and precious metals testers, global positioning systems (GPS), underwater color photography cameras.",Industrial,Appliances and machinery manufacturing,3313,Repair and maintenance of electronic and optical equipment,Class,High,3,Manufacturing,Enhanced Due Diligence (EDD),H04,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 331303 → ISIC 3313 (Class)
242402,Detergents & Disinfectants Manufacturing,"Includes manufacturing soap, shampoo, detergents and other chemical materials used to clean floors, carpets and glass, to remove stains from clothes, wash household utensils, also manufacturing floors, bathrooms and clothes disinfectants.",Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 242402 → ISIC 242 (Group)
514903,Detergents & Disinfectants Trading,"Includes reselling chemical detergents for cleaning clothes, carpets, floors, destainers, bleachers, deodorants, bathrooms, kitchens and drainage points disinfectants, also, included utensils and glass polishers and air fresheners.",Commercial,Chemicals trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 514903 → ISIC 51 (Division)
210904,Diapers Manufacturing,Includes manufacturing diapers made of cloth or synthetic disposable materials.,Industrial,Manufacturing of paper and paper products,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 210904 → ISIC 210 (Group)
514111,Diesel Fuel Trading,"Includes reselling diesel fuel, not directly to customers, but to industrial and commercial corporations for fuelling vehicles, ships, planes or in industrial or marine equipment, this activity neither involves petrol station which is classified under activity No. 505001, nor the firms that practice the activity no. 505002.",Commercial,Fuel and petroleum products trading 5,51,Air transport,Division,High,3,Transportation / storage,Enhanced Due Diligence (EDD),H08,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 514111 → ISIC 51 (Division)
100027,Digital and Interactive Game,Development Digital and Interactive Game Development Media New,Media,,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100027 → ISIC 10 (Division)
100049,Digital Content Creation,Digital Content Creation,Media,Animation,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100049 → ISIC 10 (Division)
RAKEZ /2017/51,Digital Designing Professional Individual Works,,Individual / Professional,Others fields,N,"Professional, scientific and technical activities",Section,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Activity name title match → ISIC N
100028,"Digital Media Library, Distribution","and Management Digital Media Library, Distribution and Management Media New",Media,,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100028 → ISIC 10 (Division)
100029,Digital Signage Development and,Management Digital Signage Development and Management Media New,Media,,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100029 → ISIC 10 (Division)
100081,"Directories, Guides, Manuals and Catalogues","Directories, Guides, Manuals and Catalogues",Media,Publishing,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100081 → ISIC 10 (Division)
809002,Disability Rehabilitation Center,Includes centers specialized in rehabilitating individuals suffering mental retardation or multiple disabilities through educational programs to enable them conduct normal life Educational Training Instititute /,Educational,consultancy,80,Investigation and security activities,Division,Medium,2,Security / investigation / private protection,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 809002 → ISIC 80 (Division)
289921,Disposable Aluminum Plates & Containers Manufacturing,"Includes manufacturing disposable aluminum sheets plates, trays, glasses and similar utensils used in serving food, or in preserving or packing food such as containers, cans and others.",Industrial,Metal home appliances manufacturing,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289921 → ISIC 28 (Division)
100068,Distribution / DVD Authoring,Distribution / DVD Authoring,Media,Production Support Services,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100068 → ISIC 10 (Division)
291918,Diving Equipment Assembling,"Includes assembling the recreational and professional diving equipment such as rebreathers, weighing systems, depth gauges, buoyancy control devices, cylinders.",Industrial,Equipment and engines manufacturing,291,Manufacture of motor vehicles,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 291918 → ISIC 291 (Group)
515913,Diving Equipment Trading,"Includes reselling recreational and professional diving equipment such as snorkel, mask, rebreather, weighing system, depth gauge, fins, suits, buoyancy control device, cylinders.",Commercial,Mechanical & engineering equipment trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515913 → ISIC 51 (Division)
369402,Dolls Manufacturing,"Includes manufacturing dolls and children’s toys made plastic, fabric, textiles, leather, metal, or of mixture of them.",Industrial,Personal requisities manufacturing,36,"Water collection, treatment and supply",Division,Medium,2,Water / waste / remediation,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 369402 → ISIC 36 (Division)
513924,Domestic Kitchen & Fixture Trading,Includes reselling household wooden or aluminium kitchens and fixtures tailored to the size of the kitchen and customers’ specifications.,Commercial,Furnitures trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513924 → ISIC 51 (Division)
